allenamenti_settimana;cadenza_checkin;canale;mese_iscrizione;mesi_pagati;mensile_equivalente_eur;totale_pieno_eur;sconto_pct;totale_scontato_eur
2;bimestre;presenza;Gennaio;6;51;306;10;275,40
2;bimestre;presenza;Febbraio;5;51;255;10;229,50
2;bimestre;presenza;Marzo;4;51;204;10;183,60
2;bimestre;presenza;Aprile;3;51;153;10;137,70
2;bimestre;presenza;Maggio;2;51;102;10;91,80
2;bimestre;presenza;Giugno;1;51;51;10;45,90
2;bimestre;presenza;Luglio;10;51;510;15;433,50
2;bimestre;presenza;Agosto;10;51;510;15;433,50
2;bimestre;presenza;Settembre;10;51;510;15;433,50
2;bimestre;presenza;Ottobre;9;51;459;15;390,15
2;bimestre;presenza;Novembre;8;51;408;15;346,80
2;bimestre;presenza;Dicembre;7;51;357;15;303,45
2;bimestre;remoto;Gennaio;6;46;276;10;248,40
2;bimestre;remoto;Febbraio;5;46;230;10;207
2;bimestre;remoto;Marzo;4;46;184;10;165,60
2;bimestre;remoto;Aprile;3;46;138;10;124,20
2;bimestre;remoto;Maggio;2;46;92;10;82,80
2;bimestre;remoto;Giugno;1;46;46;10;41,40
2;bimestre;remoto;Luglio;10;46;460;15;391
2;bimestre;remoto;Agosto;10;46;460;15;391
2;bimestre;remoto;Settembre;10;46;460;15;391
2;bimestre;remoto;Ottobre;9;46;414;15;351,90
2;bimestre;remoto;Novembre;8;46;368;15;312,80
2;bimestre;remoto;Dicembre;7;46;322;15;273,70
2;mensile;presenza;Gennaio;6;67;402;10;361,80
2;mensile;presenza;Febbraio;5;67;335;10;301,50
2;mensile;presenza;Marzo;4;67;268;10;241,20
2;mensile;presenza;Aprile;3;67;201;10;180,90
2;mensile;presenza;Maggio;2;67;134;10;120,60
2;mensile;presenza;Giugno;1;67;67;10;60,30
2;mensile;presenza;Luglio;10;67;670;15;569,50
2;mensile;presenza;Agosto;10;67;670;15;569,50
2;mensile;presenza;Settembre;10;67;670;15;569,50
2;mensile;presenza;Ottobre;9;67;603;15;512,55
2;mensile;presenza;Novembre;8;67;536;15;455,60
2;mensile;presenza;Dicembre;7;67;469;15;398,65
2;mensile;remoto;Gennaio;6;57;342;10;307,80
2;mensile;remoto;Febbraio;5;57;285;10;256,50
2;mensile;remoto;Marzo;4;57;228;10;205,20
2;mensile;remoto;Aprile;3;57;171;10;153,90
2;mensile;remoto;Maggio;2;57;114;10;102,60
2;mensile;remoto;Giugno;1;57;57;10;51,30
2;mensile;remoto;Luglio;10;57;570;15;484,50
2;mensile;remoto;Agosto;10;57;570;15;484,50
2;mensile;remoto;Settembre;10;57;570;15;484,50
2;mensile;remoto;Ottobre;9;57;513;15;436,05
2;mensile;remoto;Novembre;8;57;456;15;387,60
2;mensile;remoto;Dicembre;7;57;399;15;339,15
2;bisettimanale;presenza;Gennaio;6;95;570;10;513
2;bisettimanale;presenza;Febbraio;5;95;475;10;427,50
2;bisettimanale;presenza;Marzo;4;95;380;10;342
2;bisettimanale;presenza;Aprile;3;95;285;10;256,50
2;bisettimanale;presenza;Maggio;2;95;190;10;171
2;bisettimanale;presenza;Giugno;1;95;95;10;85,50
2;bisettimanale;presenza;Luglio;10;95;950;15;807,50
2;bisettimanale;presenza;Agosto;10;95;950;15;807,50
2;bisettimanale;presenza;Settembre;10;95;950;15;807,50
2;bisettimanale;presenza;Ottobre;9;95;855;15;726,75
2;bisettimanale;presenza;Novembre;8;95;760;15;646
2;bisettimanale;presenza;Dicembre;7;95;665;15;565,25
2;bisettimanale;remoto;Gennaio;6;76;456;10;410,40
2;bisettimanale;remoto;Febbraio;5;76;380;10;342
2;bisettimanale;remoto;Marzo;4;76;304;10;273,60
2;bisettimanale;remoto;Aprile;3;76;228;10;205,20
2;bisettimanale;remoto;Maggio;2;76;152;10;136,80
2;bisettimanale;remoto;Giugno;1;76;76;10;68,40
2;bisettimanale;remoto;Luglio;10;76;760;15;646
2;bisettimanale;remoto;Agosto;10;76;760;15;646
2;bisettimanale;remoto;Settembre;10;76;760;15;646
2;bisettimanale;remoto;Ottobre;9;76;684;15;581,40
2;bisettimanale;remoto;Novembre;8;76;608;15;516,80
2;bisettimanale;remoto;Dicembre;7;76;532;15;452,20
2;settimanale;presenza;Gennaio;6;148;888;10;799,20
2;settimanale;presenza;Febbraio;5;148;740;10;666
2;settimanale;presenza;Marzo;4;148;592;10;532,80
2;settimanale;presenza;Aprile;3;148;444;10;399,60
2;settimanale;presenza;Maggio;2;148;296;10;266,40
2;settimanale;presenza;Giugno;1;148;148;10;133,20
2;settimanale;presenza;Luglio;10;148;1480;15;1258
2;settimanale;presenza;Agosto;10;148;1480;15;1258
2;settimanale;presenza;Settembre;10;148;1480;15;1258
2;settimanale;presenza;Ottobre;9;148;1332;15;1132,20
2;settimanale;presenza;Novembre;8;148;1184;15;1006,40
2;settimanale;presenza;Dicembre;7;148;1036;15;880,60
2;settimanale;remoto;Gennaio;6;112;672;10;604,80
2;settimanale;remoto;Febbraio;5;112;560;10;504
2;settimanale;remoto;Marzo;4;112;448;10;403,20
2;settimanale;remoto;Aprile;3;112;336;10;302,40
2;settimanale;remoto;Maggio;2;112;224;10;201,60
2;settimanale;remoto;Giugno;1;112;112;10;100,80
2;settimanale;remoto;Luglio;10;112;1120;15;952
2;settimanale;remoto;Agosto;10;112;1120;15;952
2;settimanale;remoto;Settembre;10;112;1120;15;952
